scientific name,kingdom,class,order,family,genus,specificEpithet,infraspecificEpithet,taxon rank,nomenclatural code,location,country code,occurrence status,date first observation,date last observation,degree of establishment,introduction pathway,remarks,native range,realm,source,abundance,threat status,host,date added,added by,verified by
"Pycnonotus jocosus (Linnaeus, 1758)",Animalia,Aves,Passeriformes,Pycnonotidae,Pycnonotus,jocosus,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Acridotheres ginginianus (Latham, 1790)",Animalia,Aves,Passeriformes,Sturnidae,Acridotheres,ginginianus,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Acridotheres tristis (Linnaeus, 1766)",Animalia,Aves,Passeriformes,Sturnidae,Acridotheres,tristis,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Acridotheres cristatellus (Linnaeus, 1758)",Animalia,Aves,Passeriformes,Sturnidae,Acridotheres,cristatellus,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Lamprotornis purpureus (Statius Muller, 1776)",Animalia,Aves,Passeriformes,Sturnidae,Lamprotornis,purpureus,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Cardinalis cardinalis Linnaeus, 1758",Animalia,Aves,Passeriformes,Emberizidae,Cardinalis,cardinalis,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Turdus dissimilis Blyth, 1847",Animalia,Aves,Passeriformes,Muscicapidae,Turdus,dissimilis,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Emberiza hortulana Linnaeus, 1758",Animalia,Aves,Passeriformes,Emberizidae,Emberiza,hortulana,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
Junco hyemalis,Animalia,Aves,Passeriformes,Emberizidae,Junco,hyemalis,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Melospiza melodia (A.Wilson, 1810)",Animalia,Aves,Passeriformes,Emberizidae,Melospiza,melodia,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Tarsiger cyanurus (Pallas, 1773)",Animalia,Aves,Passeriformes,Muscicapidae,Tarsiger,cyanurus,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Taeniopygia guttata (Vieillot, 1817)",Animalia,Aves,Passeriformes,Estrildidae,Taeniopygia,guttata,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Estrilda astrild (Linnaeus, 1758)",Animalia,Aves,Passeriformes,Estrildidae,Estrilda,astrild,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Amandava amandava (Linnaeus, 1758)",Animalia,Aves,Passeriformes,Estrildidae,Amandava,amandava,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Ploceus jacksoni Shelley, 1888",Animalia,Aves,Passeriformes,Ploceidae,Ploceus,jacksoni,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Ploceus melanocephalus (Linnaeus, 1758)",Animalia,Aves,Passeriformes,Ploceidae,Ploceus,melanocephalus,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Euplectes orix (Linnaeus, 1758)",Animalia,Aves,Passeriformes,Ploceidae,Euplectes,orix,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Euplectes afer (Gmelin, 1789)",Animalia,Aves,Passeriformes,Ploceidae,Euplectes,afer,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Serinus canaria (Linnaeus, 1758)",Animalia,Aves,Passeriformes,Fringillidae,Serinus,canaria,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Carpodacus roseus (Pallas, 1776)",Animalia,Aves,Passeriformes,Fringillidae,Carpodacus,roseus,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Rhodospiza obsoleta (M.H.K.Lichtenstein, 1823)",Animalia,Aves,Passeriformes,Fringillidae,Rhodospiza,obsoleta,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Oena capensis (Linnaeus, 1766)",Animalia,Aves,Columbiformes,Columbidae,Oena,capensis,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Geopelia cuneata (Latham, 1802)",Animalia,Aves,Columbiformes,Columbidae,Geopelia,cuneata,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Streptopelia risoria (Linnaeus, 1758)",Animalia,Aves,Columbiformes,Columbidae,Streptopelia,risoria,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Streptopelia decaocto (Frivaldszky, 1838)",Animalia,Aves,Columbiformes,Columbidae,Streptopelia,decaocto,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Athene noctua (Scopoli, 1769)",Animalia,Aves,Strigiformes,Strigidae,Athene,noctua,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Ninox connivens (Latham, 1802)",Animalia,Aves,Strigiformes,Strigidae,Ninox,connivens,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Sarkidiornis melanotos (Pennant, 1769)",Animalia,Aves,Anseriformes,Anatidae,Sarkidiornis,melanotos,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Tadorna tadornoides (Jardine & Selby, 1828)",Animalia,Aves,Anseriformes,Anatidae,Tadorna,tadornoides,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Tadorna cana (Gmelin, 1789)",Animalia,Aves,Anseriformes,Anatidae,Tadorna,cana,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Tadorna variegata (Gmelin, 1789)",Animalia,Aves,Anseriformes,Anatidae,Tadorna,variegata,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/focajn,,,,,,
"Tadorna ferruginea (Pallas, 1764)",Animalia,Aves,Anseriformes,Anatidae,Tadorna,ferruginea,,species,,,,,,,,,,,,"Sources considered for unifying information:  https://doi.org/10.15468/guejza, https://doi.org/10.15468/focajn",,,,,,
"Anser fabalis (Latham, 1787)",Animalia,Aves,Anseriformes,Anatidae,Anser,fabalis,,species,,,,,,,,,,,,Sources considered for unifying information:  https://doi.org/10.15468/guejza,,,,,,
