taxonID,description,type
alien-birds-checklist:taxon:7fbf98ba9013500c6c850cc90cb0c7ef,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:7fbf98ba9013500c6c850cc90cb0c7ef,released (blackburn_2011:B3),degree of establishment
alien-birds-checklist:taxon:7fc20aedced321fcb77531affa2be959,Eastern Asia (WGSRPD:38),native range
alien-birds-checklist:taxon:7fc20aedced321fcb77531affa2be959,Southern Asia,native range
alien-birds-checklist:taxon:85486d20e50525cc27777c7a205af8df,Nearctic,native range
alien-birds-checklist:taxon:85486d20e50525cc27777c7a205af8df,Neotropic,native range
alien-birds-checklist:taxon:87d4a296a884452eff65d38177cf7cd9,Northern America (WGSRPD:7),native range
alien-birds-checklist:taxon:87d4a296a884452eff65d38177cf7cd9,Central America (WGSRPD:80),native range
alien-birds-checklist:taxon:8858798c3624d5f3c2f9dbf174a6be75,China (WGSRPD:36),native range
alien-birds-checklist:taxon:88f2ec6b4adca5d634626cab95d6c4b3,Northern America (WGSRPD:7),native range
alien-birds-checklist:taxon:8a51239b9c7b087a1fb0c286241c44db,Southeastern Asia,native range
alien-birds-checklist:taxon:8a51239b9c7b087a1fb0c286241c44db,Australia (WGSRPD:50),native range
alien-birds-checklist:taxon:8a6c21c6ed5dc87e47c7996ca7a80394,Macaronesia,native range
alien-birds-checklist:taxon:8bcfbc95a6848f7f9a3ab819dbda9eca,Southern Asia,native range
alien-birds-checklist:taxon:8bcfbc95a6848f7f9a3ab819dbda9eca,Southeastern Asia,native range
alien-birds-checklist:taxon:8be53badf8ed1745ded4a010deabc807,Central America (WGSRPD:80),native range
alien-birds-checklist:taxon:8be53badf8ed1745ded4a010deabc807,Southern America (WGSRPD:8),native range
alien-birds-checklist:taxon:8e883b65660a1f6c6661765f76545e2a,Eastern Asia (WGSRPD:38),native range
alien-birds-checklist:taxon:8e883b65660a1f6c6661765f76545e2a,Southeastern Asia,native range
alien-birds-checklist:taxon:92569a20b58cd25de83721588fff7b79,Western Africa,native range
alien-birds-checklist:taxon:92569a20b58cd25de83721588fff7b79,Middle Africa,native range
alien-birds-checklist:taxon:92569a20b58cd25de83721588fff7b79,Eastern Africa,native range
alien-birds-checklist:taxon:92569a20b58cd25de83721588fff7b79,Southern Africa (WGSRPD:27),native range
alien-birds-checklist:taxon:926f74b117ab7932032ce327dd59782c,Southeastern Asia,native range
alien-birds-checklist:taxon:926f74b117ab7932032ce327dd59782c,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:926f74b117ab7932032ce327dd59782c,released (blackburn_2011:B3),degree of establishment
alien-birds-checklist:taxon:927b1311d9643c92ec9f664499942d62,Africa (WGSRPD:2),native range
alien-birds-checklist:taxon:927b1311d9643c92ec9f664499942d62,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:92a3c215e4edb7435f05726f0d030e20,Southeastern Asia,native range
alien-birds-checklist:taxon:97b975fcba6ecc5a4c362452136f90aa,Africa (WGSRPD:2),native range
alien-birds-checklist:taxon:97b975fcba6ecc5a4c362452136f90aa,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:97b975fcba6ecc5a4c362452136f90aa,released (blackburn_2011:B3),degree of establishment
alien-birds-checklist:taxon:9b879737420d63c475510caa5d693013,Nearctic,native range
alien-birds-checklist:taxon:9b879737420d63c475510caa5d693013,Neotropic,native range
alien-birds-checklist:taxon:9bab48cc5caba2719d8c71468c93e246,Australia (WGSRPD:50),native range
alien-birds-checklist:taxon:9bab48cc5caba2719d8c71468c93e246,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:9bab48cc5caba2719d8c71468c93e246,released (blackburn_2011:B3),degree of establishment
alien-birds-checklist:taxon:9dd89c632bf3fb18fa86d723b1d853aa,Caribbean (WGSRPD:81),native range
alien-birds-checklist:taxon:9dd89c632bf3fb18fa86d723b1d853aa,Southern America (WGSRPD:8),native range
alien-birds-checklist:taxon:9dd89c632bf3fb18fa86d723b1d853aa,Galapagos (WGSRPD:GAL),native range
alien-birds-checklist:taxon:9e782cbe37da27dfdb6790cd4bd2817b,Africa (WGSRPD:2),native range
alien-birds-checklist:taxon:9ec2a2ff407f1246640b8c5249eb16b2,Southern America (WGSRPD:8),native range
alien-birds-checklist:taxon:9ec2a2ff407f1246640b8c5249eb16b2,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:9ec2a2ff407f1246640b8c5249eb16b2,established (blackburn_2011:C3),degree of establishment
alien-birds-checklist:taxon:a079456a45a7070c67e53f420588f746,Western Africa,native range
alien-birds-checklist:taxon:a079456a45a7070c67e53f420588f746,Middle Africa,native range
alien-birds-checklist:taxon:a079456a45a7070c67e53f420588f746,Eastern Africa,native range
alien-birds-checklist:taxon:a079456a45a7070c67e53f420588f746,Southern Africa (WGSRPD:27),native range
alien-birds-checklist:taxon:a3b3a04a7516016401a8150bda9cf564,Europe (WGSRPD:1),native range
alien-birds-checklist:taxon:a4fb6061d5d08e1198d0a33196dcfa76,New Zealand (WGSRPD:51),native range
alien-birds-checklist:taxon:a69b9ef954259dafb979078fa8675ef5,Australia (WGSRPD:50),native range
alien-birds-checklist:taxon:a69b9ef954259dafb979078fa8675ef5,Southeastern Asia,native range
alien-birds-checklist:taxon:a6c18a411a843b001ebc9d3f36369961,Western Africa,native range
alien-birds-checklist:taxon:a6c18a411a843b001ebc9d3f36369961,Eastern Africa,native range
alien-birds-checklist:taxon:a6c18a411a843b001ebc9d3f36369961,Southern Africa (WGSRPD:27),native range
alien-birds-checklist:taxon:a6c18a411a843b001ebc9d3f36369961,Middle Africa,native range
alien-birds-checklist:taxon:ab3b77876edf02f8b8669feb1af2efed,Northern America (WGSRPD:7),native range
alien-birds-checklist:taxon:ab3b77876edf02f8b8669feb1af2efed,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:ab3b77876edf02f8b8669feb1af2efed,established (blackburn_2011:C3),degree of establishment
alien-birds-checklist:taxon:ac8350a9c9928bb53d1212fba5a39d49,Australia (WGSRPD:50),native range
alien-birds-checklist:taxon:ac8350a9c9928bb53d1212fba5a39d49,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:ac8350a9c9928bb53d1212fba5a39d49,released (blackburn_2011:B3),degree of establishment
alien-birds-checklist:taxon:aeb2f79ae271fa07fb7ec2bc51b6977f,Palearctic,native range
alien-birds-checklist:taxon:aeb2f79ae271fa07fb7ec2bc51b6977f,cbd_2014_pathway:release,pathway
alien-birds-checklist:taxon:aeb2f79ae271fa07fb7ec2bc51b6977f,established (blackburn_2011:C3),degree of establishment
alien-birds-checklist:taxon:afc0c4b108afbaced664464d80afa1c3,Africa (WGSRPD:2),native range
alien-birds-checklist:taxon:b53bfb662813ea5b3f6a757bf6f19557,Australia (WGSRPD:50),native range
alien-birds-checklist:taxon:b6e117480018ac5c5fc2b9e2cc0f1552,Southern America (WGSRPD:8),native range
alien-birds-checklist:taxon:b6e117480018ac5c5fc2b9e2cc0f1552,Central America (WGSRPD:80),native range
alien-birds-checklist:taxon:b6e117480018ac5c5fc2b9e2cc0f1552,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:b6e117480018ac5c5fc2b9e2cc0f1552,released (blackburn_2011:B3),degree of establishment
alien-birds-checklist:taxon:b70f60023bfbb02c59a6be170a5fe5c1,Northern America (WGSRPD:7),native range
alien-birds-checklist:taxon:b70f60023bfbb02c59a6be170a5fe5c1,cbd_2014_pathway:escape,pathway
alien-birds-checklist:taxon:b70f60023bfbb02c59a6be170a5fe5c1,cbd_2014_pathway:release,pathway
alien-birds-checklist:taxon:b70f60023bfbb02c59a6be170a5fe5c1,established (blackburn_2011:C3),degree of establishment
alien-birds-checklist:taxon:b7b09f889881250eb6b486d4635f0349,Eastern Asia (WGSRPD:38),native range
alien-birds-checklist:taxon:ba0cc2bfd9679460a5f3040f748039bf,Northern America (WGSRPD:7),native range
